"Comparison","F_value","R2","p_value","n","p_adj"
"Kadavu vs Kuata",3.5498288129984,0.0489295270723285,0.018,71,0.044
"Kadavu vs Totoya",0.806726634858699,0.0132670623712908,0.474,62,0.474
"Kadavu vs VanuaLevu",5.92196211665687,0.0769866232439033,0.004,73,0.04
"Kadavu vs Yasawa",3.46636550920566,0.043620536650869,0.022,78,0.044
"Kuata vs Totoya",0.892720809696766,0.0344776748746483,0.432,27,0.474
"Kuata vs VanuaLevu",4.46105286762072,0.110255481542121,0.014,38,0.044
"Kuata vs Yasawa",3.61307157510829,0.0809868374345288,0.01,43,0.044
"Totoya vs VanuaLevu",1.07243527808783,0.038202431227081,0.346,29,0.46
"Totoya vs Yasawa",1.04189570081794,0.0315325643011503,0.368,34,0.46
"VanuaLevu vs Yasawa",1.70086527283454,0.0380499406992058,0.175,45,0.291666666666667
