"Term","Df","GVIF","GVIF_adj","Check"
"Geomorphology",5,13864.7438835718,2.59532162335143,2.59532162335143
"nutrint",1,14.5939071849798,3.82019727042726,14.5939071849798
"DESIG",1,22.6014036946698,4.75409336200603,22.6014036946698
"NO_TK_AREA",1,11.4534731715062,3.38429803231131,11.4534731715062
"crypto5BRin",1,668.452428665722,25.8544469804659,668.452428665722
"transi15LR",1,15.5197580366657,3.9395124110308,15.5197580366657
"transi15BRout",1,631.619151659695,25.1320343716878,631.619151659695
"transi15BRbtw",1,150.280529168653,12.2588959196435,150.280529168653
"resid15LR",1,361.442509903313,19.011641431063,361.442509903313
"resid15BRIF",1,298.103670813092,17.2656789850006,298.103670813092
"resid15BRbtw",1,242.872874403961,15.5843791792923,242.872874403961
"pare15BRbtw",1,59.4191451469396,7.70838148685829,59.4191451469396
"sst_sd_6_year_mean",1,637.300944607795,25.2448201539998,637.300944607795
