"Response","term","estimate","std.error","statistic","p.value"
"FRic","(Intercept)",9.68197115865066e-12,2.50878316755545e-12,3.8592299581174,0.000190593415348183
"FRic","Geomorphology1",-2.27138631760847e-11,5.83055552929649e-12,-3.8956602097271,0.000167046725174488
"FRic","Geomorphology2",1.52593242655924e-11,8.17977721088594e-12,1.86549387253295,0.0647290839010756
"FRic","Geomorphology3",-2.54514598077093e-11,1.14587761821581e-11,-2.22113246677586,0.0283536259156197
"FRic","Geomorphology4",3.76993867862134e-11,6.94703783267764e-12,5.42668511302502,3.3596844326861e-07
"FRic","Geomorphology5",-9.81673114169723e-12,4.95497159021911e-12,-1.98118817897463,0.0500208756765498
"FRic","nutrint",-8.37246114774802e-12,3.15595524274063e-12,-2.65290870870443,0.00913931908087053
"FRic","NO_TK_AREA",5.78024210986929e-12,3.3471137322082e-12,1.72693328411517,0.0869365937353427
"FRic","transi15LR",4.51369062418316e-12,4.42916026202412e-12,1.01908496355027,0.310358932654707
"FRic","transi15BRbtw",-1.7325838222923e-11,3.37373672124745e-12,-5.13550393953582,1.19854525149899e-06
"FRic","resid15LR",-9.71974897491372e-12,3.2335492184675e-12,-3.00590723017362,0.00326873390948577
"FRic","resid15BRbtw",7.84873849451106e-14,3.00404771512821e-12,0.0261272098142292,0.979202369855355
"FRic","pare15BRbtw",-1.21699735115068e-11,3.44913633151183e-12,-3.5284118520686,0.000607459512271371
"FEve","(Intercept)",0.670979628602496,0.00556002935496714,120.679152170854,2.01870295561285e-120
"FEve","Geomorphology1",0.0319820347201403,0.0129218261338394,2.4750398580574,0.0148202002508145
"FEve","Geomorphology2",-0.069613946491002,0.0181282312468368,-3.84008486780247,0.000204202807465041
"FEve","Geomorphology3",0.0302380406207683,0.0253952325448983,1.19069752825881,0.236289844146884
"FEve","Geomorphology4",-0.0152498022033461,0.0153962027405468,-0.99049112695722,0.324069183964037
"FEve","Geomorphology5",-0.0123828880442911,0.0109813346370188,-1.12763051610754,0.261885918469901
"FEve","nutrint",0.00620225462572781,0.00699430864314124,0.886757354039541,0.377109710589305
"FEve","NO_TK_AREA",-0.000663145680247963,0.00741795897156978,-0.089397323817717,0.928925817256433
"FEve","transi15LR",-0.0173117458035136,0.00981601813707311,-1.76362202695314,0.0805225653036914
"FEve","transi15BRbtw",0.00364649247449479,0.00747696152009192,0.487697103254579,0.626717712507017
"FEve","resid15LR",0.0180050385928007,0.00716627439466148,2.51246848797941,0.0134131056994961
