"term","estimate","robust.se","t.value","p.value"
"(Intercept)",0.669295437434339,0.00540636232538844,123.797739987072,2.31733606230178e-123
"Geomorphology1",0.0239629841424784,0.0114979143259629,2.08411573291764,0.0393837469176596
"Geomorphology2",-0.0628492257680136,0.0251005108732629,-2.50390225463342,0.013698350361026
"Geomorphology3",-0.0107063902490219,0.016485578357454,-0.649439771955649,0.517360542506015
"Geomorphology4",-0.00755859233717448,0.010996812774028,-0.687343914322721,0.493262019781534
"Geomorphology5",0.00215813596215365,0.014363957952151,0.150246608166273,0.880835566885164
"sedimnt",0.0047933955733676,0.00662068078542826,0.724003426342136,0.47054677610131
"NO_TK_AREA",0.000927581222349752,0.00964802150928679,0.0961421179935078,0.923576508880795
"crypto5BROF",0.0140520752607156,0.00716134475369213,1.96221181133206,0.0521747314057535
"crypto5BRIF",0.00778328211818878,0.00587746278461862,1.32425885172046,0.188065996388637
"crypto5BRin",-0.0015871600130488,0.0114649195137276,-0.138436210664053,0.890139922201088
