"term","estimate","robust.se","t.value","p.value"
"(Intercept)",9.37074666929461e-12,3.9179987448585e-12,2.39171762920844,0.0184059124573502
"Geomorphology1",-1.1779925889862e-11,6.50745118356396e-12,-1.81022116917525,0.0728956788624007
"Geomorphology2",1.97544064060162e-11,9.53820609382262e-12,2.07108194263176,0.040608388766491
"Geomorphology3",-1.24586632964816e-11,6.49006534401801e-12,-1.91965144202514,0.0574011764396002
"Geomorphology4",2.32915905785443e-11,1.26621071187836e-11,1.83947192675319,0.0684477935855237
"Geomorphology5",-1.27294549703495e-11,7.58254810066162e-12,-1.67878327988962,0.0959333780236928
"sedimnt",-3.62230313210639e-12,1.89764554482536e-12,-1.90884074319567,0.0587968910723465
"NO_TK_AREA",-2.01506979391555e-12,2.5422469902969e-12,-0.792633367885397,0.429637909186775
"crypto5BROF",-8.01531485675602e-12,4.02333067793642e-12,-1.99220881860675,0.048738250595305
"crypto5BRIF",-9.05437227811726e-12,4.37366321862558e-12,-2.07020335712144,0.0406921038622594
"crypto5BRin",-1.01991599732215e-11,5.64155118668364e-12,-1.80786447480893,0.0732642409139325
