"term","estimate","robust.se","t.value","p.value"
"(Intercept)",0.035784300831468,0.00122979558400028,29.0977633169479,4.84534321975556e-54
"Geomorphology1",0.00545259788410702,0.00360525680806028,1.51240207685528,0.133248240502737
"Geomorphology2",-0.00585536099599684,0.00395480318655303,-1.48056950492657,0.14152898414483
"Geomorphology3",0.00856472836348293,0.00509302432381806,1.68165864110035,0.0954214461695461
"Geomorphology4",-0.00464929000721402,0.00360369684530612,-1.2901445950621,0.199657814833915
"Geomorphology5",0.00193154090241567,0.0031193109965739,0.619220367746975,0.537028745122567
"nutrint",0.00060570238139289,0.0017975534387209,0.336959318340986,0.736778169767832
"NO_TK_AREA",0.00207433679782576,0.0017250271193881,1.20249518080711,0.231707804173654
"transi15LR",-0.00390812602994558,0.00178909251254709,-2.18441807929857,0.0310157349054939
"transi15BRbtw",0.00272268729252703,0.00174619030950127,1.55921566951352,0.121766640570501
"resid15LR",0.000189429051278437,0.00175151630934795,0.108151462973792,0.914069059201478
"resid15BRbtw",0.00291430006309629,0.00231151544910402,1.26077464211884,0.210010165634173
"pare15BRbtw",0.00261815929815641,0.00209980817488801,1.24685641739444,0.215051393811722
