"Comparison","F_value","R2","p_value","n","p_adj"
"Kadavu 1 vs Kadavu 2",5.91354620979186,0.120897924358795,0.002,45,0.028
"Kadavu 1 vs Kadavu 3",1.17485652486121,0.0307756631408973,0.316,39,0.549684210526316
"Kadavu 1 vs Namara",4.45960310172484,0.086662213327008,0.011,49,0.0616
"Kadavu 1 vs Totoya",0.653032402710974,0.0168947262897069,0.575,40,0.619230769230769
"Kadavu 1 vs Savusavu",2.4030935746092,0.058041401430035,0.089,41,0.178
"Kadavu 1 vs Wailevu",2.76810366219459,0.0662731467193727,0.052,41,0.142545454545455
"Kadavu 1 vs Muaira",2.92664209458368,0.0514107628150815,0.033,56,0.1155
"Kadavu 2 vs Kadavu 3",3.38174287394501,0.144631770701464,0.033,22,0.1155
"Kadavu 2 vs Namara",2.4081832489049,0.0743078755883754,0.081,32,0.174461538461538
"Kadavu 2 vs Totoya",2.98318711545383,0.124386600541993,0.056,23,0.142545454545455
"Kadavu 2 vs Savusavu",5.70778311269081,0.205999270655346,0.005,24,0.035
"Kadavu 2 vs Wailevu",7.02321414563696,0.241986091216322,0.004,24,0.035
"Kadavu 2 vs Muaira",6.17535532819547,0.14302963533835,0.002,39,0.028
"Kadavu 3 vs Namara",2.16205791260537,0.0826409726569578,0.098,26,0.182933333333333
"Kadavu 3 vs Totoya",0.828367216075146,0.0523343440777558,0.472,17,0.574608695652174
"Kadavu 3 vs Savusavu",0.651995645396354,0.0391542046539392,0.573,18,0.619230769230769
"Kadavu 3 vs Wailevu",0.875337655191834,0.0518708231549091,0.43,18,0.558727272727273
"Kadavu 3 vs Muaira",0.101698951947114,0.00326988413411889,0.958,33,0.992
"Namara vs Totoya",0.892720809696766,0.0344776748746483,0.439,27,0.558727272727273
"Namara vs Savusavu",2.67857667709176,0.0933999168526165,0.068,28,0.158666666666667
"Namara vs Wailevu",2.93853920195302,0.101544144348333,0.043,28,0.133777777777778
"Namara vs Muaira",3.61307157510829,0.0809868374345288,0.019,43,0.0886666666666667
"Totoya vs Savusavu",0.755882934341241,0.0425708446680117,0.497,19,0.579833333333333
"Totoya vs Wailevu",1.00137176035571,0.0556275251512232,0.415,19,0.558727272727273
"Totoya vs Muaira",1.04189570081794,0.0315325643011503,0.373,34,0.549684210526316
"Savusavu vs Wailevu",0.0315301463800357,0.00174861179966835,0.992,20,0.992
"Savusavu vs Muaira",1.05115147160027,0.0308697775602967,0.347,35,0.549684210526316
"Wailevu vs Muaira",1.08831475449734,0.0319263290759703,0.36,35,0.549684210526316
