"Response","ModelType","term","estimate","std.error","statistic","p.value","Adj_R2","Marginal_R2","Conditional_R2","LM_AIC","LMM_AIC","Delta_AIC","LM_BIC","LMM_BIC","Delta_BIC","Preferred"
"fric","LM","(Intercept)",0.0838376172340424,0.00707388931764582,11.8517004535128,8.96895155064868e-20,0.0804446749425771,NA,NA,-227.383738829862,-225.383738829862,2,-204.494085789431,-199.950791007161,4.54329478227001,"Tie"
"fric","LM","sedimnt",-0.0146292998750197,0.0117114309066128,-1.24914709326931,0.215000596513529,0.0804446749425771,NA,NA,-227.383738829862,-225.383738829862,2,-204.494085789431,-199.950791007161,4.54329478227001,"Tie"
"fric","LM","NO_TK_AREA",0.0143601263040253,0.00813367972042164,1.76551410894267,0.0810268195782012,0.0804446749425771,NA,NA,-227.383738829862,-225.383738829862,2,-204.494085789431,-199.950791007161,4.54329478227001,"Tie"
"fric","LM","grav_NC",-0.0198289943964613,0.0143607997484483,-1.38077229289433,0.170926900364626,0.0804446749425771,NA,NA,-227.383738829862,-225.383738829862,2,-204.494085789431,-199.950791007161,4.54329478227001,"Tie"
"fric","LM","Median_Depth",0.00359447311445053,0.00749695348411718,0.479457838716176,0.632829986455735,0.0804446749425771,NA,NA,-227.383738829862,-225.383738829862,2,-204.494085789431,-199.950791007161,4.54329478227001,"Tie"
"fric","LM","resid15LR",0.00335532582277553,0.0125574548835482,0.267197919792762,0.789956491614196,0.0804446749425771,NA,NA,-227.383738829862,-225.383738829862,2,-204.494085789431,-199.950791007161,4.54329478227001,"Tie"
"fric","LM","resid15BRIF",-0.012796035871819,0.00847801538141829,-1.50931972827801,0.134882445212897,0.0804446749425771,NA,NA,-227.383738829862,-225.383738829862,2,-204.494085789431,-199.950791007161,4.54329478227001,"Tie"
"fric","LM","transi15LR",-0.018871127330701,0.00948192467319113,-1.9902211819987,0.0497428296849774,0.0804446749425771,NA,NA,-227.383738829862,-225.383738829862,2,-204.494085789431,-199.950791007161,4.54329478227001,"Tie"
"fdiv","LMM","(Intercept)",0.841269917489102,0.0434181766972223,19.3759844720269,0.00148290821283425,NA,0.206256425546,0.741897990923728,-207.795850428004,-214.300550613069,-6.50470018506434,-184.906197387574,-188.867602790369,-3.96140540279433,"LMM"
"fdiv","LMM","sedimnt",0.0146702880335135,0.0272903252591964,0.537563693146891,0.608420685818613,NA,0.206256425546,0.741897990923728,-207.795850428004,-214.300550613069,-6.50470018506434,-184.906197387574,-188.867602790369,-3.96140540279433,"LMM"
"fdiv","LMM","NO_TK_AREA",0.0376021084943254,0.0141449097970732,2.65834911878377,0.0147457620523189,NA,0.206256425546,0.741897990923728,-207.795850428004,-214.300550613069,-6.50470018506434,-184.906197387574,-188.867602790369,-3.96140540279433,"LMM"
"fdiv","LMM","grav_NC",-0.0385570565883124,0.0617878504917627,-0.62402327126516,0.585127357440246,NA,0.206256425546,0.741897990923728,-207.795850428004,-214.300550613069,-6.50470018506434,-184.906197387574,-188.867602790369,-3.96140540279433,"LMM"
"fdiv","LMM","Median_Depth",0.00253462576825306,0.00809553203317324,0.313089461923796,0.754971668035564,NA,0.206256425546,0.741897990923728,-207.795850428004,-214.300550613069,-6.50470018506434,-184.906197387574,-188.867602790369,-3.96140540279433,"LMM"
"fdiv","LMM","resid15LR",0.0493294343319962,0.0246357468769658,2.0023518904604,0.0724426852022049,NA,0.206256425546,0.741897990923728,-207.795850428004,-214.300550613069,-6.50470018506434,-184.906197387574,-188.867602790369,-3.96140540279433,"LMM"
"fdiv","LMM","resid15BRIF",-0.0346164903239611,0.0329563419072112,-1.05037417142425,0.339491436201015,NA,0.206256425546,0.741897990923728,-207.795850428004,-214.300550613069,-6.50470018506434,-184.906197387574,-188.867602790369,-3.96140540279433,"LMM"
"fdiv","LMM","transi15LR",-0.0191040796992846,0.0161187620475958,-1.18520762592522,0.259072991949242,NA,0.206256425546,0.741897990923728,-207.795850428004,-214.300550613069,-6.50470018506434,-184.906197387574,-188.867602790369,-3.96140540279433,"LMM"
"fspe","LM","(Intercept)",0.422458733180851,0.010273579154627,41.1208914461505,2.46367707222157e-58,0.0342701454039476,NA,NA,-157.228714180249,-155.228714180249,2,-134.339061139819,-129.795766357549,4.54329478227001,"Tie"
"fspe","LM","sedimnt",-0.0112129930793544,0.0170087920562876,-0.659246879040382,0.51149867742192,0.0342701454039476,NA,NA,-157.228714180249,-155.228714180249,2,-134.339061139819,-129.795766357549,4.54329478227001,"Tie"
"fspe","LM","NO_TK_AREA",0.00153630894762549,0.0118127381803516,0.13005527796941,0.896826412199871,0.0342701454039476,NA,NA,-157.228714180249,-155.228714180249,2,-134.339061139819,-129.795766357549,4.54329478227001,"Tie"
"fspe","LM","grav_NC",-0.0193521941905804,0.0208565339821475,-0.927872013976298,0.356070834322225,0.0342701454039476,NA,NA,-157.228714180249,-155.228714180249,2,-134.339061139819,-129.795766357549,4.54329478227001,"Tie"
"fspe","LM","Median_Depth",0.00262204381328586,0.0108880053926638,0.240819481505085,0.810268215209105,0.0342701454039476,NA,NA,-157.228714180249,-155.228714180249,2,-134.339061139819,-129.795766357549,4.54329478227001,"Tie"
