"effect","term","estimate","std.error","statistic","df","p.value","Response","Predictor","p_adj_BH","sig"
"fixed","nutrint",7.08796263023482e-14,2.72450085699965e-12,0.0260156373672072,8.42231575469856e-09,0.999999946600133,"FRic","nutrint",0.999999946600133,""
"fixed","crypto5LR",9.59252983875262e-13,2.3740694215695e-12,0.404054310779632,8.42978275078075e-09,0.999999923434911,"FRic","crypto5LR",0.999999946600133,""
"fixed","crypto5BRout",-1.99396118404961e-13,2.99855719728031e-12,-0.0664973536558893,8.42159115174442e-09,0.999999938701025,"FRic","crypto5BRout",0.999999946600133,""
"fixed","sst_sd_6_year_mean",-4.14126117456133e-12,4.27143933155531e-12,-0.969523585168988,8.39569223702166e-09,0.999999916379159,"FRic","sst_sd_6_year_mean",0.999999946600133,""
"fixed","sst_q90_6_year_mean",4.1035174499629e-12,4.52600351418937e-12,0.906653615512683,8.38440151890742e-09,0.999999917048099,"FRic","sst_q90_6_year_mean",0.999999946600133,""
"fixed","sst_mean_6_year_mean",4.23673473762259e-12,4.49845116067457e-12,0.941820770370945,8.38578497688266e-09,0.999999916715986,"FRic","sst_mean_6_year_mean",0.999999946600133,""
"fixed","nutrint",-0.00166391924081499,0.00577791155194608,-0.287979354798977,48.406551945194,0.77459197998472,"FEve","nutrint",0.83455952186826,""
"fixed","crypto5LR",0.00255982965603415,0.00513031539207841,0.498961459559916,122.902051219583,0.618698455047919,"FEve","crypto5LR",0.83455952186826,""
"fixed","crypto5BRout",0.00196184256709921,0.00630635664462344,0.311089695311128,39.6441114086233,0.757362376538803,"FEve","crypto5BRout",0.83455952186826,""
"fixed","sst_sd_6_year_mean",0.00222412177072949,0.00989585964714011,0.224752760248804,3.53316301871334,0.83455952186826,"FEve","sst_sd_6_year_mean",0.83455952186826,""
"fixed","sst_q90_6_year_mean",-0.00720837156390604,0.0095557731850108,-0.754347285598313,3.1771137055767,0.502641813645017,"FEve","sst_q90_6_year_mean",0.83455952186826,""
"fixed","sst_mean_6_year_mean",-0.00613810341795404,0.0098165221419505,-0.625282898484292,3.18904294748415,0.573687077022273,"FEve","sst_mean_6_year_mean",0.83455952186826,""
"fixed","nutrint",0.00169758561239934,0.00436648406417711,0.388776321509206,52.4690382385907,0.699014851400886,"FDiv","nutrint",0.838817821681063,""
"fixed","crypto5LR",0.00407435108965076,0.00369910107941844,1.10144356755218,122.840004791361,0.272857158793625,"FDiv","crypto5LR",0.838817821681063,""
"fixed","crypto5BRout",-0.000848516098544953,0.0047840638991206,-0.177363036204622,58.4586589788421,0.859836358948754,"FDiv","crypto5BRout",0.859836358948754,""
"fixed","sst_sd_6_year_mean",0.00648543107084879,0.00720897867983928,0.899632438778884,2.93389784374877,0.43597272492713,"FDiv","sst_sd_6_year_mean",0.838817821681063,""
"fixed","sst_q90_6_year_mean",-0.0047029185778633,0.00788334036578055,-0.596564192290542,2.93310062005855,0.593698710826869,"FDiv","sst_q90_6_year_mean",0.838817821681063,""
"fixed","sst_mean_6_year_mean",-0.00546285752120118,0.00775072506132402,-0.704818901196837,2.85224979040437,0.534116359615799,"FDiv","sst_mean_6_year_mean",0.838817821681063,""
"fixed","nutrint",-0.00211382273608132,0.00401800904496543,-0.526087102449395,40.1478266979866,0.60172194780167,"FDis","nutrint",0.60172194780167,""
"fixed","crypto5LR",-0.00399281870974757,0.00371468349023631,-1.0748745405207,119.693339945568,0.284592903612161,"FDis","crypto5LR",0.60172194780167,""
"fixed","crypto5BRout",-0.00519867092634075,0.00438379866309409,-1.18588268437299,27.8547881917977,0.245686356079701,"FDis","crypto5BRout",0.60172194780167,""
"fixed","sst_sd_6_year_mean",0.00460110350272201,0.00541511705030075,0.849677571136984,2.81061914525985,0.461739800416518,"FDis","sst_sd_6_year_mean",0.60172194780167,""
"fixed","sst_q90_6_year_mean",-0.00397306782543029,0.00571333831091125,-0.695402164062747,2.8444772442422,0.53932639441,"FDis","sst_q90_6_year_mean",0.60172194780167,""
"fixed","sst_mean_6_year_mean",-0.00411276741394124,0.00569488783107903,-0.722185850877765,2.75250549599689,0.526649519952904,"FDis","sst_mean_6_year_mean",0.60172194780167,""
"fixed","nutrint",-0.000761934710007252,0.00110381607069343,-0.690273253159463,122.999999997376,0.491322807762648,"RaoQ","nutrint",0.902736300091845,""
"fixed","crypto5LR",-0.000135424222305099,0.00110588457286876,-0.122457827541438,122.999999997661,0.902736300091845,"RaoQ","crypto5LR",0.902736300091845,""
"fixed","crypto5BRout",-0.00197770721628418,0.00111899118058523,-1.76740196937911,10.6686564852651,0.105708549804193,"RaoQ","crypto5BRout",0.634251298825157,""
"fixed","sst_sd_6_year_mean",0.000493258903975682,0.00111126886119527,0.443869995101939,1.56324507054098,0.710837789267184,"RaoQ","sst_sd_6_year_mean",0.902736300091845,""
"fixed","sst_q90_6_year_mean",-0.000327293266685203,0.00117591632698209,-0.2783304042773,1.59278758499076,0.812610819495092,"RaoQ","sst_q90_6_year_mean",0.902736300091845,""
"fixed","sst_mean_6_year_mean",-0.000362710179333182,0.00116864316225812,-0.310368631800601,1.5532867387831,0.792826038801857,"RaoQ","sst_mean_6_year_mean",0.902736300091845,""
