"term","estimate","std.error","statistic","p.value","Response","Predictor"
"(Intercept)",5.539943142548e-12,2.36320584630913e-12,2.34424908486086,0.0206683256164235,"FRic","sedimnt"
"sedimnt",-1.67937305703731e-12,2.3727157674136e-12,-0.707785180214788,0.480417685632677,"FRic","sedimnt"
"(Intercept)",5.57367880506234e-12,2.33736421897541e-12,2.38460003786042,0.0186256299598609,"FRic","DESIG"
"DESIG1",-4.21695781429251e-12,2.33736421897541e-12,-1.80415092353088,0.0736547963202591,"FRic","DESIG"
"(Intercept)",5.539943142548e-12,2.35491573831568e-12,2.35250164258971,0.0202351548873195,"FRic","crypto5BROF"
"crypto5BROF",-2.76949126677057e-12,2.36439229868982e-12,-1.17133322939058,0.24372894778883,"FRic","crypto5BROF"
"(Intercept)",5.539943142548e-12,2.3352388520226e-12,2.37232398636642,0.0192272963790734,"FRic","crypto5BRIF"
"crypto5BRIF",-4.37184226663974e-12,2.34463622943579e-12,-1.8646143106352,0.0646189986810344,"FRic","crypto5BRIF"
"(Intercept)",5.539943142548e-12,2.36569972334118e-12,2.34177782069641,0.0207996229319426,"FRic","crypto5LR"
"crypto5LR",1.16534057582334e-12,2.37521968020866e-12,0.4906243348914,0.624566308687829,"FRic","crypto5LR"
"(Intercept)",5.539943142548e-12,2.36742023933108e-12,2.34007594026201,0.0208904705737015,"FRic","crypto5BRin"
"crypto5BRin",5.9017087919377e-13,2.37694711983213e-12,0.248289444165442,0.804324522995959,"FRic","crypto5BRin"
"(Intercept)",5.539943142548e-12,2.36781023873404e-12,2.33969050894465,0.0209110937346407,"FRic","crypto5BRout"
"crypto5BRout",-3.45428956999267e-13,2.37733868865553e-12,-0.145300692176351,0.88471130510015,"FRic","crypto5BRout"
"(Intercept)",5.539943142548e-12,2.35787833128902e-12,2.34954580524067,0.0203893742902067,"FRic","transi15BRIF"
"transi15BRIF",-2.43698486667235e-12,2.36736681361464e-12,-1.02940737897369,0.305308296262782,"FRic","transi15BRIF"
"(Intercept)",5.539943142548e-12,2.36542671080318e-12,2.34204810372962,0.0207852271437147,"FRic","transi15BRin"
"transi15BRin",1.23214191092454e-12,2.37494556902422e-12,0.518808484284877,0.604826463381367,"FRic","transi15BRin"
"(Intercept)",5.539943142548e-12,2.34323518133941e-12,2.36422839101507,0.0196334215266639,"FRic","transi15BRout"
"transi15BRout",-3.80452227462599e-12,2.35266473727021e-12,-1.61711195579884,0.108415939261439,"FRic","transi15BRout"
"(Intercept)",5.539943142548e-12,2.36758034095625e-12,2.33991769855229,0.0208989353945735,"FRic","pare15BRout"
"pare15BRout",5.04287319379245e-13,2.37710786573204e-12,0.212143221032987,0.832346448664987,"FRic","pare15BRout"
"(Intercept)",5.539943142548e-12,2.36351494548465e-12,2.34394250526392,0.020684574232484,"FRic","resid15BRout"
"resid15BRout",-1.62454254644517e-12,2.37302611045401e-12,-0.68458688224647,0.494892584579163,"FRic","resid15BRout"
"(Intercept)",5.539943142548e-12,2.33580909023873e-12,2.37174483381336,0.0192561014753584,"FRic","resid15BRIF"
"resid15BRIF",-4.33390570264237e-12,2.34520876238238e-12,-1.84798290547054,0.0670069878404862,"FRic","resid15BRIF"
"(Intercept)",5.539943142548e-12,2.35835476465811e-12,2.34907115145211,0.0204142355914153,"FRic","pare15LR"
"pare15LR",-2.37913618337266e-12,2.36784516422837e-12,-1.00476847866358,0.316980909808246,"FRic","pare15LR"
"(Intercept)",5.539943142548e-12,2.34895430924631e-12,2.35847207446344,0.0199267892325741,"FRic","pare15BRin"
"pare15BRin",-3.33871792768398e-12,2.35840687986932e-12,-1.41566663334572,0.159400270659642,"FRic","pare15BRin"
"(Intercept)",5.539943142548e-12,2.33708185017507e-12,2.37045319663623,0.0193204807054132,"FRic","pare15BRIF"
"pare15BRIF",-4.24797605033823e-12,2.34648664410978e-12,-1.81035594683721,0.0726817671776557,"FRic","pare15BRIF"
"(Intercept)",5.53994314254794e-12,2.32044416821206e-12,2.38744944542947,0.0184883837767387,"FRic","sst_sd_6_year_mean"
"sst_sd_6_year_mean",-5.25865854979043e-12,2.32978200943376e-12,-2.25714617440475,0.0257632313396542,"FRic","sst_sd_6_year_mean"
"(Intercept)",5.53994314254833e-12,2.32645838616923e-12,2.38127755711567,0.0187868012730124,"FRic","sst_q90_6_year_mean"
"sst_q90_6_year_mean",4.9181528049201e-12,2.33582042957305e-12,2.10553548665514,0.0372785862747614,"FRic","sst_q90_6_year_mean"
"(Intercept)",5.53994314254777e-12,2.32402096725079e-12,2.3837750263937,0.0186655360159259,"FRic","sst_mean_6_year_mean"
"sst_mean_6_year_mean",5.05902127175158e-12,2.33337320208815e-12,2.16811492787533,0.0320753101872313,"FRic","sst_mean_6_year_mean"
"(Intercept)",0.676229302904,0.00509200691615355,132.802117915193,1.11406500026582e-134,"FEve","sedimnt"
"sedimnt",-0.00310490625088913,0.00511249797244967,-0.607316866944673,0.544760186112372,"FEve","sedimnt"
"(Intercept)",0.67616673261956,0.00505080310890871,133.873112461447,4.17606116393582e-135,"FEve","DESIG"
