"term","estimate","std.error","statistic","p.value","Response","Predictor","p_adj_BH","sig"
"nutrint",1.03337888623895e-13,2.37752445045048e-12,0.0434644903880232,0.965401751381119,"FRic","nutrint",0.965401751381119,""
"crypto5LR",1.16534057582334e-12,2.37521968020866e-12,0.4906243348914,0.624566308687829,"FRic","crypto5LR",0.936849463031743,""
"crypto5BRout",-3.45428956999267e-13,2.37733868865553e-12,-0.145300692176351,0.88471130510015,"FRic","crypto5BRout",0.965401751381119,""
"sst_sd_6_year_mean",-5.25865854979043e-12,2.32978200943376e-12,-2.25714617440475,0.0257632313396542,"FRic","sst_sd_6_year_mean",0.0745571725495228,"."
"sst_q90_6_year_mean",4.9181528049201e-12,2.33582042957305e-12,2.10553548665514,0.0372785862747614,"FRic","sst_q90_6_year_mean",0.0745571725495228,"."
"sst_mean_6_year_mean",5.05902127175158e-12,2.33337320208815e-12,2.16811492787533,0.0320753101872313,"FRic","sst_mean_6_year_mean",0.0745571725495228,"."
"nutrint",-0.00237759551131481,0.00511566751015858,-0.464767404565178,0.642919722577243,"FEve","nutrint",0.642919722577243,""
"crypto5LR",0.00531882914279901,0.00509764784601816,1.04338889296828,0.29881457074262,"FEve","crypto5LR",0.358577484891144,""
"crypto5BRout",0.00729016939861706,0.00507778762537725,1.43569797251523,0.153626546966659,"FEve","crypto5BRout",0.307253093933317,""
"sst_sd_6_year_mean",0.0057062901436189,0.00509424022305599,1.12014547680591,0.264834220351228,"FEve","sst_sd_6_year_mean",0.358577484891144,""
"sst_q90_6_year_mean",-0.00954185080580603,0.00504735517538495,-1.89046549613547,0.0610485909369949,"FEve","sst_q90_6_year_mean",0.266305471935751,""
"sst_mean_6_year_mean",-0.00868048125455133,0.00505998076474327,-1.71551665078153,0.0887684906452504,"FEve","sst_mean_6_year_mean",0.266305471935751,""
"nutrint",-0.00169472674104911,0.00371692758647976,-0.455948280298394,0.649231150352646,"FDiv","nutrint",0.649231150352646,""
"crypto5LR",0.0053293784236177,0.00368890068711977,1.44470639782357,0.15108306274238,"FDiv","crypto5LR",0.22662459411357,""
"crypto5BRout",0.00431489573703591,0.00369966655004902,1.16629314525082,0.245752349050715,"FDiv","crypto5BRout",0.294902818860858,""
"sst_sd_6_year_mean",0.00778680392545973,0.0036532094335914,2.13149672007845,0.0350376995203786,"FDiv","sst_sd_6_year_mean",0.132598960729411,""
"sst_q90_6_year_mean",-0.00679853238767542,0.00366921359081325,-1.85285817230623,0.0662994803647055,"FDiv","sst_q90_6_year_mean",0.132598960729411,""
"sst_mean_6_year_mean",-0.00718133383408937,0.00366327997007492,-1.96035626344511,0.0522148500076667,"FDiv","sst_mean_6_year_mean",0.132598960729411,""
"nutrint",-0.00167700785584328,0.0036758932162067,-0.45621778359869,0.649037898572087,"FDis","nutrint",0.649037898572087,""
"crypto5LR",-0.00415985132714669,0.00365983192729068,-1.13662359632623,0.257905256429805,"FDis","crypto5LR",0.355392718622588,""
"crypto5BRout",-0.00384271348438655,0.00366264975128337,-1.04916214908075,0.296160598852156,"FDis","crypto5BRout",0.355392718622588,""
"sst_sd_6_year_mean",0.0047864699466296,0.00365360001331125,1.31006950109233,0.192613693286816,"FDis","sst_sd_6_year_mean",0.355392718622588,""
"sst_q90_6_year_mean",-0.00419074714918624,0.00365954535241558,-1.14515513420814,0.254368222242721,"FDis","sst_q90_6_year_mean",0.355392718622588,""
"sst_mean_6_year_mean",-0.00432627950891726,0.00365826288933938,-1.18260487006676,0.239246758141177,"FDis","sst_mean_6_year_mean",0.355392718622588,""
"nutrint",-0.000761934710007251,0.00110381607069343,-0.690273253159462,0.491322807762621,"RaoQ","nutrint",0.902736300091841,""
"crypto5LR",-0.0001354242223051,0.00110588457286876,-0.122457827541439,0.902736300091841,"RaoQ","crypto5LR",0.902736300091841,""
"crypto5BRout",-0.00191674339160544,0.00109236470270613,-1.7546734958179,0.0818053118363552,"RaoQ","crypto5BRout",0.490831871018131,""
"sst_sd_6_year_mean",0.000493251894565543,0.00110505735779883,0.446358635671233,0.656123035161575,"RaoQ","sst_sd_6_year_mean",0.902736300091841,""
"sst_q90_6_year_mean",-0.000327408455842337,0.00110555790319378,-0.296147723150913,0.767616697729125,"RaoQ","sst_q90_6_year_mean",0.902736300091841,""
"sst_mean_6_year_mean",-0.00036301803160408,0.0011054674996614,-0.328384173858815,0.743179589959927,"RaoQ","sst_mean_6_year_mean",0.902736300091841,""
